cod,razao,fantasia,endereco,numero,bairro,cidade,uf,vendedores,lat,lng,precisao
13,JOAO BATISTA LAVERSA,MERC.LAVERSA,AV.JOSE EDUARDO DE SOUZA,229,CENTRO,JACUI,MG,7;8;79;168,-21.0169567,-46.7458301,cidade
20,JOSE RONALDO DE LIMA ME,JOSE RONALDO,R.ANTONIO ANACLETO REZENDE,170,CENTRO,ALPINOPOLIS,MG,3;37;100;161,-20.8636898,-46.3920056,rua
32,J.A. FIGUEIREDO & CIA LTDA - ME,BAR MERC.JAF,RUA GABRIEL RODRIGUES DE CARVALHO,221,DOM BOSCO,POCOS DE CALDAS,MG,6;24;120,-21.7986711,-46.5348297,rua
33,JOAO GUALBERTO DE OLIVEIRA - ME,SM.DAVI,RUA DR.AVELINO DE QUEIROZ,32,CENTRO,PIUMHI,MG,13;57;166,-20.4675258,-45.9576125,cidade
58,CLEONICE BERTOLINO ME,CLEONICE BERTOLINO ME,RUA UMBELINA CANDIDA,179,CENTRO,CARMO DO RIO CLARO,MG,3;37;100;161,-20.9738137,-46.1153547,rua
59,SUPERMERCADO BOM JESUS DA PENHA LTDA,SUPERMERCADO BOM JESUS DA PENH,R.CEL.ANTONIO D.RIBEIRO,355,CENTRO,BOM JESUS DA PENHA,MG,10;42;86;172,-21.0178774,-46.5213848,cidade
64,SANTA BARBARA ATACADO E VAREJO LTDA,MERC.STA BARBARA,AVENIDA TEREZINHA FADUL,418,STA BARBARA,PRATAPOLIS,MG,118;173;174;175,-20.7388671,-46.8519165,rua
68,GILMAR JANUARIO FREIRE ME,SM.PAG POKO,R.BAHIA,307,MUNDO NOVO,ALPINOPOLIS,MG,3;37;100;161,-20.8557182,-46.3861501,rua
73,THIAGO & OLIVEIRA LTDA,PANIFICADORA PAO NOSSO,TRV LEMOS,30,CENTRO,PRATAPOLIS,MG,118;173;174;175,-20.7434452,-46.8605877,rua
76,COMERCIAL S.V. LTDA  LJ 01,SM.SUPER VALE,R.GAMA CRUZ,25,VILA CRUZ,POCOS DE CALDAS,MG,4;5;75;120;125;171,-21.7824309,-46.5864605,rua
80,SM.IRMAOS ALMEIDA CENTRO LTDA,SM.I.ALMEIDA,R.PARAIBA,805/813,CENTRO,POCOS DE CALDAS,MG,4;5;75;120;125;171,-21.7830998,-46.5683885,rua
101,TERRA SUPERMERCADO LTDA,TERRA SUPERMERCADO,RUA ABILIO NARCISO PEREIRA,129,JD.SAO PAULO,POCOS DE CALDAS,MG,6;24;120,-21.7900318,-46.5647928,cidade
105,MERCEARIA NAVARRO LTDA ME,MERC.PEBINHA,R.DR.JOAO PEREIRA DIAS,547,JD.RENOVACAO,GUARANESIA,MG,10;42;86;172,-21.3139805,-46.791747,rua
107,SODRE MIGUEL LTDA LJ 01,SAN MICHEL,R.PERNAMBUCO,1000,CENTRO,POCOS DE CALDAS,MG,4;5;75;120;125;171;910,-21.7844191,-46.5668388,rua
110,SM.IRMAOS ALMEIDA LTDA,SM.ALMEIDA,R.CAP.AFONSO JUNQUEIRA,562,CENTRO,POCOS DE CALDAS,MG,4;5;75;120;171,-21.7946717,-46.5685201,rua
114,SM.ALMEIDA COUNTRY CLUBE LTDA,SM.ALMEIDA COUNTRY CLUBE LTDA,R.MANOEL SANTOS MARTINS,369,J.COUNTRY CLUB,POCOS DE CALDAS,MG,6;24;120,-21.7882884,-46.5974434,rua
124,ISMAEL MERLI E CIA LTDA,FRIMINAS,AV.ANTONIO TOGNI,2035,VILA CRUZ,POCOS DE CALDAS,MG,6;24;120,-21.7797201,-46.6022694,rua
130,SUPERMERCADO 2 R SOCIEDADE LTDA,ZE MARIA,R.DR.ARY BASTOS SIQUEIRA,459,CENTRO,ITAU DE MINAS,MG,118;173;174;175,-20.745022,-46.7536771,rua
134,JOSE RICARDO GERALDO,SM.ECONOMICO,AV.CHAMPAGNAT,1601,CENTRO,POCOS DE CALDAS,MG,6;24;120,-21.7825469,-46.585584,rua
135,SM.BARZALI LTDA,BARZALI,R.ANTONIO TOGNI,2520,JD.AMERICA,POCOS DE CALDAS,MG,6;24;120,-21.7886685,-46.5737664,rua
139,PEG PAG TAVARES LTDA,PEG PAG TAVARES LTDA,R.CONGONHAS,34,J.SAO PAULO,POCOS DE CALDAS,MG,4;5;75;171,-21.7921124,-46.5527368,rua
145,SM.BALEIA AZUL LTDA,SM.BALEIA AZUL,DINA ALVES MIGLIORANZI,86,SAO JOSE,POCOS DE CALDAS,MG,4;5;75;171,-21.8095684,-46.5697918,rua
152,MAURICIO VICENTE CAIXETA & FILHOS LTDA. - ME,MAURICIO VICENTE CAIXETA & FIL,RUA RECORDACOES,479,SANTO ANDRE,POCOS DE CALDAS,MG,4;5;75;171,-21.7930474,-46.5448073,rua
154,SUPERMERCADO ARCO IRIS LTDA,SM.ARCO IRIS,R.PAISSANDU,275,DOM BOSCO,POCOS DE CALDAS,MG,6;24;120,-21.7971552,-46.5371972,rua
155,COMERCIAL COLOMBO E MELO LTDA,PEG PAG COLOMBO,R.CEL.VIRGILIO SILVA,2977,DOM BOSCO,POCOS DE CALDAS,MG,6;24;120,-21.7885042,-46.5448767,rua
156,THEZOLIN E LUIZ LTDA,SM.S.LUIZ,R.GUAICURUS,299,TOGNI,POCOS DE CALDAS,MG,6;24;120,-21.7842121,-46.602658,rua
160,COMERCIAL CARFILHOS DE POCOS LTDA,N.VIDA,RUA CORONEL VIRGILIO SILVA,2865,DOM BOSCO,POCOS DE CALDAS,MG,6;24;120,-21.7885042,-46.5448767,rua
173,VAREJAO AVENIDA CENTER LTDA,VAREJAO AVENIDA,AV.OSCAR ORNELAS,276,CENTRO,CABO VERDE,MG,110;112;113,-21.4738559,-46.3961705,rua
184,SM.IDEAL LTDA,SM.IDEAL LTDA,AV.MAJOR ANTONIO A.FERNANDES,560,CENTRO,BOTELHOS,MG,6;24;120,-21.6448721,-46.3953787,rua
185,HELIO MORAES MENDES ME,MERC.DO HELIO,PC.SANTA EFIGENIA,134,SANTA EFIGENIA,ALPINOPOLIS,MG,3;37;100;161,-20.869386,-46.39417,rua
186,SOCIEDADE CENTRAL LTDA,SOCIEDADE CENTRAL LTDA,AV.MAJOR ANTONIO A.FERNANDES,108,CENTRO,BOTELHOS,MG,6;24;120,-21.6448944,-46.3954838,rua
194,SUPERMERCADO AVELINO & FRANCO LTDA ME,SUPERMERCADO AVELINO & FRANCO,R.CEL.JOSE GUILHERME,18,CENTRO,CAMPESTRE,MG,6;24;120,-21.7127119,-46.2418227,rua
195,VAREJAO S.B.LTDA,VAREJAO S.B.LTDA,R.MATHEUS AP.DE SOUZA,61,CENTRO,CAMPESTRE,MG,6;24;120,-21.7160295,-46.2329619,cidade
